HSC	MPP	CMP	MEP	P1	P2	P3	P4	P5	P6	P7	P8	genes
403.12	365.16	360.29	365.99	30.84	26.75	23.17	19.1	19.91	20.71	21.8	16.06	PTEN
14.2	15.21	12.51	10.91	2.63	1.75	2.37	3.52	1.55	0.31	0.05	0	RNLS
0.06	0.05	0	0.12	0	0	0.03	0	0.07	0	0	0	LIPJ
0	0	0	0	0	0	0	0	0	0	0	0.04	LIPF
0	0	0	0	0	0	0	0	0	0	0	0	LIPK
0	0.33	0.71	0.14	0.28	0.04	0	0	0.01	0	0	0	LIPN
0	0	0.07	0	0.26	0	0	0	0	0	0	0	LIPM
0.06	0.52	0.38	0	9.45	0.14	0.01	0.02	0	0	0.05	0	ANKRD22
18.03	10.43	7.92	7.17	17.19	4.05	1.43	0.31	0.07	0.1	0.12	0.14	STAMBPL1
3.09	1.92	1.11	0.68	0.3	0.18	0	0.02	0	0.01	0.23	0.24	ACTA2-AS1
4.65	3.58	4.4	1.64	2.91	2.35	4.28	5.44	1.88	2.7	7.45	13.87	ACTA2
6.34	4.05	4.02	9.66	17.89	50.79	72.21	80.17	102.36	146.25	184.32	124.32	FAS
0.19	0	0.02	0	0.34	0	0	0	0	0	0	0.07	CH25H
122.16	111.34	112.81	81.12	99.07	75.46	75.63	60.12	12.05	3.49	2.8	3.01	LIPA
0.1	0.25	0.02	0.14	0	0	0	0.03	0.01	0	0.02	0	RP11-149I23.3
8.71	8.32	5.82	14.39	9.65	7.37	9.65	7.94	5.64	9.86	93.3	249.93	IFIT2
20.14	16.99	15.25	44.81	13.71	33.49	44.39	32.45	28.78	58.56	358.92	713.55	IFIT3
0.23	0.44	0.12	4.49	0.04	0.2	0.51	1.59	15.41	297.46	2279.46	1857.74	IFIT1B
8.32	7.36	2.81	7.51	2.38	6.86	6.95	2.6	1.15	3.49	18.2	33.41	IFIT1
42.07	38.09	24.59	22.31	10.22	9.93	11.31	9.04	10.02	15.28	39.41	46.47	IFIT5
0.06	0	0.09	0.07	0	0	0	0	0	0	0.03	0.21	SLC16A12
0	0	0	0.05	0	0	0	0	0	0	0	0	RP11-168O10.6
5.65	6.21	7.19	15.45	3.86	6.05	4.37	2.09	0.21	0.06	0.03	0.01	PANK1
0.03	0.08	0.02	0.19	0.04	0.05	0.04	0.07	0	0	0	0	RP11-80H5.2
0.13	0.05	0.09	0.07	0.04	0.09	0.01	0.03	0	0	0	0	RP11-80H5.6
0.06	0.25	0.07	0.07	0.14	0.09	0.04	0.05	0.11	0.11	0	0	RP11-80H5.9
0.19	0.16	0.09	0.07	0.18	0.18	0.11	0.03	0.12	0.09	0	0	RP11-80H5.7
49.03	53.14	80.02	106.85	73.84	94.06	112.55	129.92	165.55	113.57	20.29	3.28	KIF20B
1.85	1.81	1.11	0.39	0.14	0	0	0	0	0	0	0	LINC00865
0	0	0	0	0	0	0	0	0	0	0	0	RP11-478K7.2
0	0	0	0	0	0	0	0	0	0	0	0	RP11-15K3.1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-94M14.2
0	0	0	0	0	0	0	0	0	0	0	0	RP11-94M14.3
0.06	0	0.05	0	0.4	0	0	0	0	0	0	0	HTR7
42.4	43.43	46.19	54.71	51.1	79.04	80.48	74.22	56	33.65	7.51	3.78	RPP30
0.03	0.19	0.12	0.02	0	0	0.01	0.02	0.01	0.03	0	0.01	ANKRD1
0	0	0.02	0	0	0	0	0	0	0	0	0	RP11-236B18.2
0	0	0	0	0	0	0	0	0	0	0	0	RP11-236B18.5
0	0	0	0	0	0	0	0	0	0	0	0	LINC00502
151.63	131.18	118.63	165.18	49.04	72.03	78.16	69.8	65.59	134.73	336.01	454.83	PCGF5
4.45	3.39	1.84	2.37	1.8	1.52	2.08	2.86	2.83	1.21	0.06	0.06	HECTD2
0	0	0	0.02	0	0	0	0.1	0.01	0.07	0.06	0.04	PPP1R3C
0.16	0.38	1.23	0.07	0.71	0.69	0.6	0.7	0.75	0.3	0.12	0.21	TNKS2-AS1
127.78	142.04	135.11	150.67	38.64	38.83	36.14	32.45	35.63	32.54	19.51	15.18	TNKS2
14.62	10.04	10.85	11.44	1.13	1.55	0.8	0.38	0.1	0.04	0	0	FGFBP3
0.32	0.11	0.12	0.17	0.08	0.09	0	0.02	0	0	0	0	RP11-402D21.2
85.51	78.29	96.71	110.91	103.19	96.79	104.31	126.12	159.94	165.66	81.93	38.43	BTAF1
11.89	10.18	7.4	5.36	3.64	2.8	1.36	0.85	2.04	1.63	1.05	1.03	CPEB3
85.35	76.01	64.92	57.26	39.73	57	65.82	66.8	58.97	50.46	55.31	76.13	MARCH5
67.41	72.48	116.6	145.67	105.61	161.59	163.39	157.03	97.14	56.61	19.5	7.78	IDE
75.47	54.23	152.53	160.95	145.98	170.5	216.61	295.58	459.13	286.84	45.37	13	KIF11
57.02	59.1	40.02	43.29	28.5	28.46	18.98	8.98	0.22	0.21	0.25	0.19	HHEX
59.75	54.81	57.54	70.11	101.47	86.87	87.14	92.78	111.7	69.75	10.1	2	EXOC6
0.26	0	0.05	0	0	0	0	0.02	0.01	0	0	0	RP11-348J12.2
0.16	0.16	0	0.12	0.14	0	0	0	0	0	0	0	CYP26C1
0	0.03	0	0	0	0	0	0.03	0	0.01	0	0	CYP26A1
1.66	0.22	0.21	0.02	0.69	0	0	0	0	0.01	0	0	MYOF
10.79	7.06	23.59	16.59	12.95	7.37	2.59	1.88	1.57	0.8	0.11	0.01	CEP55
0	0	0	0.02	0.1	0	0	0	0	0	0	0	FFAR4
0	0.03	0.07	0.02	0.38	0	0	0	0	0	0	0	RBP4
0.45	0.6	0.47	0.36	0.48	0.25	0.08	0.26	0.21	0.3	0.02	0.03	PDE6C
29.4	30.1	21.06	21.37	17.53	27.16	28.38	29.01	29.03	20.53	6.89	2.7	FRA10AC1
0	0	0	0	0	0	0	0	0	0	0	0	LGI1
4.55	5.36	4.04	7.24	13.49	17.45	19.77	18.84	8.23	2.79	0.2	0	SLC35G1
10.88	11.08	9.46	9.66	3.39	5.02	4.44	5.18	1.77	1.4	0.88	0.63	PLCE1
0	0	0	0	0	0.02	0.01	0.02	0	0	0	0	RP11-429H9.4
0	0	0.02	0	0	0	0	0	0	0	0	0	RP11-391J2.3
0	0	0	0	0	0	0	0	0	0	0	0	PLCE1-AS1
0.19	0	0	0.02	0	0.09	0.08	0.03	0.01	0.01	0.02	0.01	RP11-76P2.4
48.15	52.04	42.44	64.07	34.15	80.86	90.85	77.27	24.66	10.9	9.01	6.85	NOC3L
13.58	5.8	2.01	1.4	1.9	1.88	2.87	3.14	2.56	1.97	0.43	0.26	TBC1D12
69.72	71.01	126.45	94.66	182.64	132.75	137.8	164.76	149.53	57.03	4.63	1.47	HELLS
0	0	0.05	0	0.04	0	0	0	0	0	0	0	CYP2C18
0.03	0	0	0	0	0	0	0	0	0	0	0	CYP2C19
0	0	0.02	0	0	0	0	0	0	0	0	0	CYP2C9
1.69	1.48	0.97	0.77	0.16	0	0.01	0	0	0	0	0.04	CYP2C8
0.42	0.22	0.17	0.12	0.08	0	0.05	0	0	0	0	0	RP11-310E22.5
2.18	1.15	1.02	1.26	0.5	0.22	0.07	0.1	0	0	0	0	C10orf129
0.23	0	0.02	0.14	0.02	0.09	0.03	0.05	0	0	0	0	RP11-310E22.4
36.06	60.91	136.83	156.27	179.05	120.67	95.51	61.41	10.96	2.63	0.43	0.14	PDLIM1
20.34	18.55	25.84	27.16	9.8	16.81	17.66	25.66	81.19	138.73	108.77	44.16	SORBS1
95.52	112.68	137.83	149.1	173.51	255.55	232.72	204.49	68.47	15.26	2.03	1.32	ALDH18A1
50.13	50.4	59.1	51.62	220.65	89.01	94.64	87.39	42.4	16.58	4.26	3.65	TCTN3
39.99	35.22	54.14	41.09	74.99	37.59	36.18	34.46	15.17	5.14	0.56	0.35	ENTPD1
2.92	3.61	2.1	2.34	5.51	4.84	4.21	5.7	3.73	2.54	0.22	0.03	ENTPD1-AS1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-248J23.7
0.23	0.57	0.17	0.1	0.34	0.16	0.34	0.24	0.12	0.14	0	0	C10orf131
0.13	0.14	0.07	0.12	0.06	0.07	0.05	0.07	0.1	0.13	0.02	0	RP11-248J23.6
0.58	0.47	0.26	0.31	0.22	0.07	0.25	0.17	0.19	0.09	0	0.01	CC2D2B
0	0	0	0	0	0	0	0	0	0	0	0	RP11-690P14.4
26.64	27.91	29.62	47.92	21.33	26.26	25.2	20.17	5.04	1.21	0.29	0.03	CCNJ
0.13	3.75	2.44	0.94	0.22	0.11	0.03	0.02	0.01	0.01	0	0	BLNK
0.06	0.08	0.07	0	0	0	0	0	0	0	0	0	RP11-35J23.1
7.31	73.72	15.27	5.29	0.24	0	0	0	0	0	0	0	DNTT
0.03	0.16	0.02	0	0	0	0	0	0	0	0.03	0.03	OPALIN
0.19	0.08	0.02	0.02	0.02	0.14	0.01	0.03	0.17	0.21	0.14	0.14	TLL2
172.29	175.29	184.49	218.17	66.81	63.9	63.63	64.53	131.51	150.62	76.37	23.5	TM9SF3
79.73	91.37	129.39	62.46	99.59	20.16	17.26	14.39	21.96	33.37	21.77	4.08	PIK3AP1
126.54	117.52	112.25	109.7	43.22	33.27	35.44	45.69	60.53	56.36	28.66	24.95	LCOR
72.94	70.84	76.97	91.69	34.27	37.33	34.03	40.55	46.7	38.85	25.46	22.19	C10orf12
20.37	23.64	34.99	37.18	10.26	10.35	5.68	5.91	9.27	10.07	4.85	2.63	RP11-175O19.4
0	0.05	0	0	0.04	0.04	0.08	0.17	0.24	0.16	0.05	0	ARHGAP19-SLIT1
0.06	0	0.02	0.02	0.06	0	0	0.02	0.01	0	0	0	SLIT1
0	0	0	0	0	0	0.04	0	0	0	0	0	RP11-453E2.2
21.18	19.7	40	51.28	42.6	62.08	90	135.87	133.89	59.41	9.9	1.73	ARHGAP19
3.22	6.59	10.35	15.19	2.85	2.82	1.65	1.12	0.48	0.43	0.59	0.38	FRAT1
11.08	10.84	20.85	37.69	4.65	5.53	4.29	2.7	0.54	0.46	0.46	0.33	FRAT2
0.1	0.11	0.05	0.05	0.1	0.04	0.04	0.05	0	0	0	0	RP11-452K12.4
20.08	20.25	20.26	42.44	61.94	148.44	139.35	118.62	17.47	19.52	110.01	134.85	RRP12
0.13	0.33	0.12	0.05	0.04	0.02	0	0	0	0	0	0.08	RP11-452K12.7
0.03	0.05	0	0	0.53	0	0.03	0.03	0.04	0	0.02	0.01	AL355490.1
14.17	16.61	22.01	23.8	86.54	104.94	100.83	64.2	12.69	4.02	2.43	6.73	PGAM1
13.58	17.29	27.59	22.6	59.38	67.42	72.06	74.79	62.78	39.01	9.55	4.55	EXOSC1
13.97	18.25	21.09	24.75	34.4	25.74	14.74	12.35	6.5	3.52	2.52	2.81	ZDHHC16
31.61	37.27	35.98	46.91	116.64	169.11	171.81	167.15	75.66	49.28	14.96	11.83	MMS19
0.03	0.05	0.12	0.02	1.01	0.42	0.26	0.17	0.25	0.19	0.11	0.11	UBTD1
0	0	0.05	0	0.42	0.45	0.52	0.91	0.39	0.23	0.02	0.17	ANKRD2
0	0.03	0	0	0.04	0.27	0.11	0.05	0.06	0.14	0.17	0.01	HOGA1
6.82	5.53	3.29	15.14	9.71	21.58	22.2	26.73	41.66	71.76	107.04	65.09	PI4K2A
0	0	0	0	0	0	0	0	0	0	0	0	PI4K2A.1
0	0	0	0	0	0	0	0	0.03	0.01	0.02	0.01	C10orf62
1.53	4.13	2.44	2.82	5.68	11.2	16.33	20.32	14.95	10.36	7.93	5.5	MORN4
2.96	3.28	2.01	5.02	19.11	22.9	19.3	15.6	9.71	6.36	8.41	8.86	AVPI1
57.64	56.81	46.43	65.09	18.92	17.45	7.95	3.38	0.48	0.07	0.11	0.01	MARVELD1
15.53	15.68	13.97	14.24	71.5	56.51	55.5	64.05	85.25	84.34	63.6	47.42	ZFYVE27
0.03	0.03	0.12	0.36	0.08	0.11	0.1	0.1	0.26	0.19	0.2	0.22	SFRP5
0	0	0	0	0	0	0	0	0	0	0	0.06	LINC00866
0	0.03	0.02	0	0.08	0	0	0	0	0.01	0.06	0.14	GOLGA7B
0.03	0	0	0	0	0	0.03	0	0.01	0	0	0	CRTAC1
0	0.05	0	0	0	0	0	0	0	0	0.02	0.06	GOLGA7B.1
17.9	16.28	19.1	24.14	38.76	41.38	42.37	42.34	47.76	38.67	21.57	22.6	R3HCC1L
9.78	8.21	6.5	3.11	3.88	3.38	5.24	8.86	2.23	1.87	2.2	0.81	LOXL4
0.88	1.67	1.11	0.63	0.1	0.14	0.14	0.26	0.15	0.2	0.06	0	RP11-34A14.3
9.36	10.29	7.75	9.68	11.82	5.76	5.72	7.92	12.98	23.95	50.68	44.7	PYROXD2
33.4	38.58	39.2	60.26	256.3	225.87	259.4	359.83	406.62	858.14	1832.95	1895.42	HPS1
0	0	0.28	0.58	0.08	0	0	0.07	0.01	0.03	0.09	0.15	HPSE2
20.86	16.86	9.05	7.1	0.79	0.76	0.29	0.05	0.12	0.07	0.02	0.06	CNNM1
14.23	14.06	14.33	17.77	53.14	81.42	96.69	103.98	129	86.15	32.84	85.87	GOT1
0.68	0.57	0.57	0.63	3.35	2.55	3.4	2.88	2.8	2.41	0.94	2.17	RP11-441O15.3
2.37	1.67	1.13	0.63	2.59	0.42	0.03	0	0	0	0.02	0	RP11-129J12.2
0.62	0.44	0.59	0.12	0.55	0	0.03	0	0	0	0	0.01	RP11-129J12.1
2.08	1.94	0.35	0.14	2.3	0.27	0.08	0	0	0	0	0	NKX2-3
19.69	16.77	15.25	17.41	22.62	11.92	6.72	5.81	7.48	7.89	6.92	8	SLC25A28
0.23	0.47	0.12	0.12	0.24	0.61	0.25	0.28	0.46	0.33	0.14	0.33	RP11-85A1.3
0.49	0.14	0.38	0.1	0.79	0.51	0.29	0.17	0.03	0.09	0.02	0.07	RP11-483F11.7
16.93	16.99	36.38	22.52	29.51	29.24	29.37	19.12	6.76	6.06	10.7	10.63	ENTPD7
57.12	56.15	62.88	82.86	65.28	85.63	83.54	67.99	32.96	21.33	10.5	6.87	CUTC
84.86	94.51	95.32	101.13	99.09	112.18	119.98	121.48	78.81	43.65	16.8	11.09	COX15
1.43	1.04	0.8	0.72	0.93	0.43	0.43	0.31	0.19	0.27	0.22	1.13	ABCC2
39.64	25.5	23.1	35.71	10.85	9.66	7.6	3.09	0.68	0.14	0.26	0.03	DNMBP
1.43	0.49	0.21	0.43	0.14	0.04	0.03	0.03	0	0	0	0	DNMBP-AS1
0	0	0	0	0	0	0	0	0	0	0	0	CPN1
195.58	217.84	274.3	192.94	163.03	116.13	130.22	127.74	42.74	15.83	4.27	2.42	ERLIN1
21.09	24.68	31.54	36.96	22.36	23.34	19.29	17.87	29.33	24.32	7.17	3.99	CHUK
0.45	0.55	1.28	1.47	0.75	0.65	0.22	0.38	0.48	0.46	0.06	0.1	RP11-316M21.7
2.18	1.86	0.52	0.46	0.24	0.11	0.15	0.17	0.19	0.26	0.06	0.15	RP11-316M21.6
11.86	15.19	14.23	12.1	57.48	83.35	83.59	84.54	49.38	25.42	8.81	11.97	CWF19L1
26.84	17.79	22.65	17.62	49.44	71.45	88.23	87.44	69.99	63.93	57.03	80.43	BLOC1S2
0	0.14	0	0.02	0.1	0.02	0.01	0	0	0	0	0.04	PKD2L1
0	0	0	0	0	0.04	0	0	0	0	0	0	RP11-34D15.2
75.08	96.04	198.51	142.8	329.19	703.41	692.84	573.58	12.39	3.63	2.42	5.54	SCD
0	0	0	0	0	0	0	0.02	0.01	0	0	0	RP11-285F16.1
0.06	0.03	0.14	0.1	0.02	0	0	0.03	0.06	0.09	0.37	0.39	WNT8B
2.24	2.35	2.17	2.03	25.06	6.97	5.83	7.69	6.28	10.55	13.22	9.93	SEC31B
0	0	0	0	0	0	0	0	0	0	0	0	NDUFB8
4.16	3.15	4.7	5.07	15.45	20.84	19.76	19.8	13.37	9.92	6.81	6.26	NDUFB8.1
58.12	50.65	51.42	51.01	132.17	145.46	147.48	141.86	121.06	131.3	118.05	79.11	HIF1AN
0.03	0	0	0	0.02	0	0	0	0	0	0	0	PAX2
0.03	0.05	0.07	0.29	0.34	0.29	0.33	0.38	0.3	0.21	0.02	0	RP11-179B2.2
106.56	93.75	97.38	117.19	64.57	62.33	73.6	78.54	63.3	33.67	5.09	1.73	FAM178A
0	0.16	0.02	0.05	0.08	0	0.03	0	0	0	0.02	0	RP11-108L7.14
10.46	11.49	12.79	15.89	46.66	69.03	68.62	55.74	32.32	22.35	10.1	11.34	MRPL43
0.62	0.63	0.26	0.58	1.43	0.76	0.92	0.87	1.14	1.11	0.29	0.11	SEMA4G
0	0	0	0	0	0	0.03	0	0.03	0	0	0	RP11-108L7.4
14.69	14.12	20.17	36.19	19.91	52.9	48.12	36.67	5.35	1.04	0.93	2.23	C10orf2
6.89	12.2	9.83	10.33	28.28	33.34	25.34	20.97	8.09	3	0.63	0.31	LZTS2
0.62	0.22	0.05	0	0.48	0.05	0.05	0.02	0.06	0.09	0.02	0	PDZD7
27.55	27.94	10.76	2.99	55.62	12.35	9.14	9.21	16.75	25.08	13.83	8.25	SFXN3
0.36	0.71	0.54	1.4	3.29	3.77	3.35	3.42	4.64	2.49	0.2	0.08	RP11-108L7.15
0.23	0.22	0	0.43	1.35	6.86	6.58	4.27	1.4	0.41	0.06	0	KAZALD1
0	0	0	0	0	0	0	0	0	0	0	0	TLX1NB
0	0	0	0	0	0	0	0	0	0	0	0	HUG1
0	0	0	0	0	0	0	0	0	0	0	0	TLX1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-31L23.3
0	0	0	0	0	0	0	0	0	0	0	0	RP11-324L3.1
0	0	0	0	0	0	0	0	0	0	0	0	LBX1
0	0	0	0	0	0	0	0	0	0.01	0	0	LBX1-AS1
0	0	0	0	0	0	0	0	0	0	0.02	0	RP11-107I14.4
0	0	0	0	0	0	0	0	0	0	0	0	RP11-107I14.2
0	0	0	0	0	0	0	0	0	0	0	0	RP11-107I14.5
56.6	40.39	30.33	48.98	31.99	88.84	122.9	151.19	128.13	106	41.45	13.65	BTRC
5.04	5.14	5.32	7.99	17.03	46.06	51.58	47.93	22.06	40.07	110.86	112.81	DPCD
13.45	11.99	10.07	10.5	34.94	44.18	43.61	50.54	55.47	71.4	111.4	131.4	POLL
16.41	14.53	8.37	9.99	23.89	12.28	11.7	14.11	19.94	23.46	15.18	11.28	FBXW4
0.32	0.25	0.17	0.14	0	0.02	0	0	0	0	0	0.01	RP11-190J1.3
0.03	0.05	0	0.02	0	0	0.01	0	0.01	0.01	0.03	0.17	FGF8
3.48	4.16	4.16	5.41	9.57	16.51	10.32	7	0.94	0.21	0.2	0.54	NPM3
225.93	193.1	166.79	181.6	125.79	90.72	73.02	95.73	154.85	199.72	224.04	248.09	MGEA5
0.03	0.16	0	0	0.08	0.31	0.38	0.16	0.22	0.33	0.02	0.07	KCNIP2-AS1
0.91	0.57	0.14	0	2.77	1.37	0.69	0.56	0.73	0.9	0.42	0.25	KCNIP2
46.72	48.13	47.33	49.18	44.92	44.58	45.38	44.98	34.25	28.01	16.24	12.97	C10orf76
3.38	5.99	4.52	9.17	13.75	15.5	10.71	9.19	5.46	3.63	1.01	0.49	HPS6
49.35	65.23	73.71	193.4	43.69	116.53	70.91	76.8	49.49	22.89	6.58	4.86	LDB1
67.51	82.12	87.71	155.84	78.2	115.79	82.59	70.61	26.16	10.59	3.55	5.8	PPRC1
165.82	183.96	239.17	363.31	219.64	534.65	506.28	385.25	91.86	33.91	18.95	28.59	NOLC1
0.03	0	0.09	0	2.54	0.05	0	0	0	0	0	0.07	ELOVL3
0	0	0	0	0	0.02	0	0	0	0	0	0	PITX3
71.8	67.81	71.66	71.17	155.86	141.06	144.37	158.87	163.28	145.04	67.52	27.34	GBF1
4.68	4.21	2.03	1.81	3.96	1.91	0.93	0.7	0.85	1.41	2.94	4.98	NFKB2
1.59	2.74	0.52	0.27	0.44	0.22	0.18	0.12	0.14	0.11	0.05	0.22	PSD
2.24	3.75	2.81	2.78	31.59	26.04	21.65	19.26	13.67	8.39	4.58	8.74	FBXL15
15.56	18.39	26.79	26.89	112.34	108.24	111.43	100.18	54.49	34.08	9.76	5.91	CUEDC2
10.92	12.53	7.38	10.07	5.76	16	14.62	9.47	3.3	2.4	0.67	0.33	C10orf95
6.5	11.63	10.19	14.87	13.94	10.02	7.16	6.18	1.93	1.09	0.88	1.38	TMEM180
74.43	73.63	75.49	73.49	152.53	168.37	178.91	178.65	221.84	231.36	155.88	105.49	ACTR1A
0	0	0	0	0	0	0	0	0	0	0	0	RP11-18I14.11
43.67	39.76	32.27	28.99	12.66	9.12	7.57	5.77	2.77	1.56	0.34	0.81	SUFU
0.19	0.16	0.19	0.14	0.65	0.27	0.18	0.17	0.03	0.06	0.05	0.14	RP11-47A8.5
31.55	32.86	14.89	16.03	16.4	11.38	8.71	7.87	3.95	3.6	7.03	11.58	TRIM8
10.95	13.96	10.09	13.66	13.27	17.34	20.44	16.05	4.89	1.86	0.45	0.57	ARL3
15.69	17.38	22.96	30.9	40.86	68.65	66.73	52.88	10.77	1.79	0.45	0.36	SFXN2
30.8	38.75	35.51	51.62	59.99	60.9	56.93	42.67	30.92	28.01	23.89	22.51	WBP1L
0.42	0	0.02	0.1	0.1	0.11	0.01	0.07	0.04	0.07	0.25	0.35	CYP17A1
0	0	0	0	0	0.02	0	0	0	0	0	0.01	CYP17A1-AS1
14.1	13.3	10.07	12.12	11.31	10.28	10.38	10.54	7.19	4.73	2.97	2.07	C10orf32
0	0	0	0	0	0	0	0	0	0	0	0	C10orf32-ASMT
0	0	0	0	0	0	0	0	0	0	0	0	AS3MT
0.1	0	0	0.02	0	0.05	0.01	0.02	0	0	0	0.01	RP11-724N1.1
46.39	38.03	38.32	81.7	8.7	12.23	11.89	19.14	37.92	31.54	13.15	11.21	CNNM2
42.72	47.94	42.27	25.95	54.98	40.94	47.44	47.16	33.21	64.1	167.83	163.01	NT5C2
0.03	0.08	0.07	0.17	0.08	0.13	0.26	0.12	0.1	0.09	0.02	0.01	RPEL1
0.26	0	0.12	0.24	0.2	0.16	0.1	0.14	0.04	0.09	0.06	0.04	INA
9.71	9.91	19.65	20.81	24.01	32.19	38.21	36.17	22.69	9.65	1.01	0.46	PCGF6
6.43	10.15	11.75	15.64	7.39	6.7	4.26	3.96	8.33	8.1	2.25	1.36	TAF5
11.79	13.96	17.19	18.66	133.77	172.88	169.53	126.92	71.27	56.47	47.08	50.31	USMG5
58.22	70.21	87.19	118.44	96.7	202.74	179.07	146.01	40.36	13.6	3.28	3.91	PDCD11
3.77	3.86	1.96	1.86	13.31	1.12	0.43	0.59	0.12	0.06	0.02	0.03	CALHM2
0	0	0.02	0	0	0	0	0	0	0	0.03	0	RP11-225H22.7
0.75	0	0.07	0	0.1	0	0	0	0	0	0	0	RP11-225H22.4
0.03	0	0.09	0.05	0.12	0.04	0	0	0	0	0	0	CALHM1
0	0	0	0	0	0.02	0	0	0	0	0.02	0	CALHM3
0	0	0	0	0	0	0	0	0	0	0	0	RP11-225H22.5
2.08	2.82	2.39	4.35	2.3	2.31	2.54	2.27	0.36	0.13	0	0	NEURL1
25.44	30.13	29.86	52.15	20.74	20.86	13.92	15.16	13.92	9.27	2.57	0.6	SH3PXD2A
1.04	1.45	1.04	1.3	0.61	0.49	0.14	0.4	0.25	0.14	0	0	RP11-416N2.4
45.06	40.91	28.16	17.82	35.06	28.55	35.89	37.21	9.39	2.4	0.5	0.47	OBFC1
334.15	312.65	293.17	336.68	26.54	27.96	28.42	27.91	31.48	26.61	5.9	3.31	SLK
1.27	1.59	1.99	1.79	1.07	0.74	0.64	0.28	0.28	0.16	0.06	0.14	COL17A1
16.99	15.71	13.9	14.1	11.98	15.26	19.14	23.8	41.2	33.04	5.45	5.5	SFR1
1.33	0.6	0.54	0.75	0.3	0.78	1.32	1.26	1.54	3.26	1.07	0.88	WDR96
28.75	31.39	36.27	44.13	262.6	364.17	448.24	426.63	279.87	218.23	91.97	29.45	GSTO1
25.6	18.11	11.44	2.51	2.26	2.65	2.61	3.04	1.65	1.46	1.36	1.18	GSTO2
9.78	10.34	14.96	10.57	48.27	39.01	45.55	57.47	97.4	98.61	80.37	51.05	ITPRIP
0	0	0	0	0	0	0	0	0	0	0	0	RP11-127L20.5
0.94	0.96	2.58	0.92	1.13	0.67	0.81	0.8	2.12	2.63	1.61	0.45	RP11-127L20.3
0.45	0.49	0.17	0.1	0.48	1.17	1.08	2.11	2.6	2.4	0.82	0.47	CCDC147-AS1
0.84	1.09	0.21	0.43	0.5	0.76	1	1.17	1.55	1.36	0.81	0.06	CCDC147
0	0	0	0	0	0	0	0	0	0	0	0	RP11-127O4.3
0	0	0	0	0	0	0	0	0	0	0	0	RP11-127O4.2
0	0	0	0	0	0	0	0	0	0	0	0	SORCS3
0	0	0	0.02	0	0	0	0	0	0	0	0	SORCS3-AS1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-56I23.1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-298H24.1
0.1	0.03	0.21	0.07	0	0	0	0	0	0	0	0	SORCS1
0	0	0.05	0.02	0	0	0.03	0	0.06	0	0	0.01	RP11-215N21.1
0	0	0	0	0	0	0	0	0	0	0.03	0	RP11-163F15.1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-655H13.2
51.53	50.1	57.23	47.51	126.7	115.03	121.11	134.6	112.27	88.04	87.26	59.42	XPNPEP1
0.39	0	0.17	0.02	0.16	0.05	0.08	0.07	0.4	0.31	0.2	0.19	RP11-451M19.3
209.1	164.94	221.96	105.14	96.46	60.34	82.24	85.77	90.5	82.79	38.31	8.15	ADD3
82.55	64.39	38.87	59	5.41	11.18	12.23	16.71	80.09	137.09	233.51	350.3	MXI1
0.03	0	0	0	0	0	0	0	0.04	0.07	0.06	0.08	RP11-549L6.3
76.02	81.08	62.65	64.15	40.5	48.11	47.26	40.79	35.68	33.79	22.05	23.12	SMNDC1
0.03	0.03	0	0.02	0.18	0	0.03	0	0	0.01	0	0.13	RP11-525A16.4
1.62	1.59	1.8	1.01	5.74	1.73	0.3	0.03	0.21	6.27	36.33	31.03	DUSP5
305.1	307.42	358.89	425.53	160.59	219.32	229.54	247.23	298.64	187.73	44.24	24.93	SMC3
0.1	0.08	0	0.17	0.16	0.18	0.16	0	0	0.06	0.02	0.01	RBM20
2.24	2.35	2.77	2.32	0.69	0.31	0.22	0.17	0.06	0.06	0.03	0.1	RP11-313D6.3
6.99	11	7	9.27	2.48	1.1	1.22	0.96	0.47	0.21	0.22	0.38	PDCD4-AS1
273.92	279.3	388.7	813.2	162.38	284.25	307.8	303.95	68.08	28.31	28.8	30.15	PDCD4
33.01	30.67	26.67	18.9	16.02	12.06	13.07	14.97	17.76	16.08	9.51	10.77	BBIP1
2.63	5.14	1.73	1.11	2.79	1.19	1.11	1.5	2.38	2.66	0.99	0.86	RP11-348N5.7
222.78	202.65	215.51	174.84	72.61	73.58	78.55	71.37	75.05	74.15	78.48	101.73	SHOC2
6.66	20.96	20.95	6.13	1.98	0.18	0.01	0.03	0	0	0	0	ADRA2A
0	0	0.02	0	0.04	0	0	0	0	0	0	0	RP11-381K7.1
22.87	23.89	26.24	43.24	13.61	37.75	43.11	33.99	16.09	6.39	1.29	0.57	GPAM
0	0	0	0	0.12	0	0	0	0	0	0	0.03	TECTB
93.18	89.89	92.27	116.36	94.54	132.75	143.71	142.55	84.58	66.14	40.42	13.61	ACSL5
1.2	0.93	0.5	0.53	0.63	0.29	0.32	0.52	0.6	0.63	0.36	0.21	RP11-324O2.3
1.1	0.71	1.23	0.41	0.28	0.23	0.19	0.19	0.17	0.31	0.08	0.07	RP11-324O2.6
